titulo,artista,duracao_segundos,genero,ano_lancamento,visualizacoes_youtube
Lose Yourself,Eminem,326,Hip-Hop,2002,318000000
Call Out My Name,The Weeknd,208,R&B,2018,1000000000
The Feels,Labrinth,178,R&B,2022,11000000
Wrecked,Imagine Dragons,255,Pop Rock,2021,201000000
The Kill (Bury Me),Thirty Seconds To Mars,261,Rock Alternativo,2005,285000000
Numb,Linkin Park,185,Nu Metal,2003,2500000000
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,267,Dream Pop,2012,42000000
THE LONELIEST,Måneskin,278,Rock Alternativo,2022,115000000
Beautiful Things,Benson Boone,222,Pop,2024,679000000
Rolling in the Deep,Adele,228,Pop,2010,2600000000
Save Me,Hanson,250,Pop Rock,2000,36000000
Iris,Goo Goo Dolls,305,Rock Alternativo,1998,627000000
With Arms Wide Open,Creed,254,Rock Alternativo,2000,196000000
Use Somebody,Kings Of Leon,234,Rock Alternativo,2008,349000000
Creep,Radiohead,238,Rock Alternativo,1992,1100000000
Dare You To Move,Switchfoot,197,Rock Alternativo,2003,39000000
Stop Crying Your Heart Out,Oasis,314,Britpop,2002,224000000
I Don't Want to Miss a Thing,Aerosmith,299,Rock,1998,695000000
Lose Control,Teddy Swims,199,Soul/Pop,2023,281000000
Brighter Than Sunshine,Aqualung,242,Indie Pop,2003,7000000
I'll Be There for You,Bon Jovi,328,Hard Rock,1988,313000000
Breathe,Anna Nalick,258,Pop Rock,2005,9800000
Happier Than Ever,Billie Eilish,298,Pop,2021,421000000
Here Without You,3 Doors Down,255,Rock,2003,974000000
With or Without You,U2,296,Rock,1987,192000000
